pore_id,pore_volume_m3,pore_radius_m,pore_shape_factor,pore_clay_volume
276,4.153318e-14,1.803585e-05,0.04309457,0.0
277,9.961818e-14,1.785864e-05,0.04973862,0.0
278,9.696198e-14,1.806781e-05,0.03425958,0.0
279,6.089485e-14,1.828073e-05,0.02314042,0.0
280,8.688602e-14,1.857079e-05,0.03235145,0.0
281,1.249069e-13,1.847451e-05,0.01975345,0.0
282,3.325728e-14,1.681806e-05,0.02281917,0.0
283,5.505562e-14,1.805522e-05,0.02055639,0.0
284,1.12065e-13,1.824181e-05,0.03012098,0.0
285,1.264874e-13,1.827153e-05,0.0334871,0.0
286,5.578003e-14,1.831039e-05,0.02963236,0.0
287,1.558812e-13,1.777345e-05,0.05522394,0.0
288,1.176847e-13,1.837968e-05,0.03873944,0.0
289,9.724736e-14,1.814993e-05,0.02585442,0.0
290,7.713933e-14,1.66516e-05,0.03690655,0.0
291,4.750413e-14,1.722791e-05,0.03953329,0.0
292,1.122406e-13,1.783986e-05,0.04285825,0.0
293,5.119206e-14,1.711935e-05,0.02953228,0.0
294,7.90272e-14,1.784938e-05,0.0300673,0.0
295,1.003645e-13,1.833718e-05,0.02508263,0.0
296,8.032237e-14,1.700241e-05,0.03197686,0.0
297,1.384732e-13,1.695477e-05,0.02852583,0.0
298,1.027573e-13,1.679697e-05,0.06434115,0.0
299,8.515181e-14,1.715134e-05,0.02823874,0.0
300,5.81728e-14,1.684298e-05,0.03780414,0.0
301,4.945786e-14,1.751906e-05,0.02576801,0.0
302,4.478208e-14,1.711746e-05,0.02652852,0.0
303,5.705325e-14,1.707977e-05,0.04447116,0.0
304,9.902547e-14,1.780389e-05,0.03546346,0.0
305,5.613126e-14,1.792687e-05,0.0315283,0.0
306,5.700934e-14,1.757856e-05,0.03196851,0.0
307,1.789308e-13,2.031761e-05,0.02862225,0.0
308,7.255136e-14,1.710201e-05,0.03986078,0.0
309,6.849024e-14,1.789639e-05,0.03451318,0.0
310,5.685568e-14,1.811015e-05,0.03732429,0.0
311,9.140813e-14,1.721971e-05,0.02931268,0.0
312,9.645709e-14,1.910404e-05,0.03721099,0.0
313,7.619539e-14,1.672987e-05,0.03107283,0.0
314,2.425696e-14,1.62183e-05,0.04097784,0.0
315,3.56281e-14,1.637448e-05,0.02454441,0.0
316,1.157309e-13,1.778706e-05,0.03166507,0.0
317,5.334336e-14,1.630991e-05,0.03328473,0.0
318,4.72407e-14,1.696203e-05,0.03002372,0.0
319,5.779962e-14,1.68407e-05,0.03034923,0.0
320,4.601139e-14,1.691948e-05,0.04298115,0.0
321,7.316602e-14,1.643282e-05,0.03218806,0.0
322,4.877734e-14,1.625527e-05,0.03166046,0.0
323,1.201213e-13,1.715077e-05,0.02265211,0.0
324,3.918432e-14,1.66191e-05,0.02853586,0.0
325,3.475002e-14,1.638705e-05,0.03267066,0.0
326,6.052166e-14,1.656737e-05,0.03330668,0.0
327,9.116666e-14,1.640939e-05,0.05162916,0.0
328,5.720691e-14,1.69076e-05,0.02762233,0.0
329,4.895296e-14,1.735796e-05,0.03254099,0.0
330,8.881779e-14,1.8157e-05,0.03608942,0.0
331,1.670108e-13,1.684707e-05,0.03586497,0.0
332,8.104678e-14,1.654287e-05,0.0228508,0.0
333,4.137952e-14,1.636602e-05,0.03277366,0.0
334,4.012826e-14,1.67003e-05,0.04268546,0.0
335,6.236563e-14,1.612979e-05,0.04131311,0.0
336,1.087722e-13,1.66105e-05,0.02310128,0.0
337,5.286042e-14,1.626371e-05,0.02281987,0.0
338,4.875539e-14,1.64166e-05,0.03615247,0.0
339,1.187603e-13,1.619174e-05,0.0416324,0.0
340,6.486816e-14,1.697768e-05,0.0325471,0.0
341,7.296845e-14,1.650474e-05,0.03285765,0.0
342,1.025158e-13,1.627773e-05,0.02347954,0.0
343,6.598771e-14,1.635369e-05,0.02820005,0.0
344,9.535949e-14,1.607261e-05,0.02913289,0.0
345,2.763757e-14,1.609902e-05,0.03385289,0.0
346,5.134573e-14,1.54567e-05,0.04562527,0.0
347,7.285869e-14,1.624826e-05,0.02492636,0.0
348,2.658387e-14,1.539633e-05,0.02879285,0.0
349,4.063315e-14,1.594091e-05,0.03141261,0.0
350,6.939027e-14,1.668737e-05,0.03222149,0.0
351,3.433293e-14,1.617842e-05,0.03542989,0.0
352,5.474829e-14,1.586152e-05,0.04662366,0.0
353,9.59961e-14,1.591253e-05,0.02479589,0.0
354,4.82505e-14,1.672796e-05,0.01804819,0.0
355,5.905088e-14,1.539289e-05,0.04318309,0.0
